Fresh Products Samples 2,S$5,keety,Redemption using Sephora pointsMailing +$1Floral recovery calming mask (15ml)Lotus Youth Preserve Moisturiser (7ml)
Fresh sample kit,S$10,gooberjelly,2 items:1. Fresh Kombucha Facial Treatment Essence 20ml2. Black Tea  Instant Perfecting Mask 15mlGot kit from Sephora member's birthday gift 2022No expiry date writtenNo nego
BN Assorted Face Mud Mask Skincare Samples Satchets for Travel Trial - Fresh / Mary Kay / BioAqua / Clearproof,S$0.50,adorable_stuff,ðŸŽ€ Prices start from $0.50ðŸŽ€ Fresh Rose Mask / Umbrian Clay Purifying Mask $1.60 each 
Fresh Samples,S$6,tarratae,
"Deluxe Skincare Samples - Fresh, Tatcha, SK-II",S$10,gayahkg,
Skincare Samples FRESH BOBBI BROWN LIVING PROOF set,S$10,escapades.junky,
Fresh products/ sample (brand new) - rose / lotus / black tea,S$10,colourful_instocks,
Timothy Hay (Fresh and sweet smelling) (from shopee) - 100g Sample bag,S$3,purplemayhem,Timothy Hay (Fresh and sweet smelling) from shopeeFreshly packed in air-tight ziploc bag100g for $3 (not including weight of ziploc bag) Free same-day delivery to your door stepCheck out my other listings for other types of hay
Fresh Beuaty 2ml Sample Tea Elixir Black Tea advance cream soy face cleanser from sephora,S$9.90,chinnyplay,Fresh Samples Tea Elixir Black Tea advance cream soy face cleanser kombucha essences 2 ml each
"Clearing my skincare Samples (Chanel, Fresh, EstÃ©e Lauder, Drunk elephant and more)",S$1,zrylv,Purchase 5 or more from this listing or my makeup samples listing and Iâ€™ll include free normal mail :)Item Price list as follows:Fresh Soy Face Cleanser 2ml - $1 (SOLD)EstÃ©e Lauder Nutritious Cleanser 1.5ml - $1Clarins Gentle Foaming Cleanser 5ml - $1Fresh Kombucha Facial Treatment Essence 2ml - $2 (SOLD)Fresh Tea Elixir Activating Serum 2ml X2 - $2 each (SOLD)Caudalie Blemish Control Salicylic Serum 1.5ml - $1Caudalie Instant Firming Serum 1.5ml - $1EstÃ©e Lauder Nutritious lotion 1.5ml - $1Common labs Vitamin B5 2ml - $1Common labs Vitamin E 2ml - $1Chanel no.1 red camellia serum 1ml - $2 (SOLD)Gallinee face vinegar 3ml X2 - $1 for bothDrunk Elephant retinol cream 1.5ml - $2Sunday Riley C.E.O vitamin C cream 1ml - $1EstÃ©e Lauder Nutritious melting soft cream/mask 1.5ml - $1Fresh Lotus Youth Preserve Face Cream 2ml - $1 (SOLD)Skin Inc Deepsea Hydrating Mask 2ml - $1Fresh Umbrian clay purifying mask 4ml -$1 (SOLD)Fresh Rose Face Mask 4ml - $2 (SOLD)Fresh Sugar Face Polish 4g $1No nego as itâ€™s already very very cheapThank you.
Fresh Sample Size (includes normal mail),S$6,beth782,Fresh Sample Size (includes normal mail)1. Fresh Black Tea Advanced Age Renewal Cream - 2ml x 2pcs (Expiry date: NOV 2025)2. fresh Tea Elixir Skin Resilience Activating Serum - 2ml x 2pcs (expiry date: NOV 2025)3. Fresh Kombucha Facial Treatment Essence -2ml x 2pcs (Expiry date: DEC 2025)4. Fresh Soy Face Cleanser - 2ml x 2pcs (Expiry date: NOV 2025)
Fresh Live Sphagnum Moss - 17 x 12 cm box - till stocks last ....,S$12,pacific.perry,"*** Photos are SAMPLES ***( These photos are from completed Orders )I will only harvest Fresh Live Sphagnum Moss from my local moss nurseries upon Confirmed Order, and place in 17 x 12cm box with a layer of moist media for your collection.1. Contact me to place order.2. I will need your Name and Contact Number to confirm the Order.3. I will harvest the moss and prepare your Order - will send you photos of your Order to confirm agreement.4. If you are agreeable with the Order from photo, please arrange to collect within 3 days to maintain moss freshness.5. If you are not satisfied with the Order from photo, I can re-do another order setup with photo to be sent to you, till your satisfaction.6. I reserve the Right to refuse any Order from non bona fide customers.*** Self Collection at Kovan/Hougang, by appointment 1 day advance only, to arrange SMM ***"
fresh and laneige samples,S$2,justcutestuffx,$2 for all:fresh rose hydration oil-infused serum x1laneige radian-c cream x3 (expiry 5 apr 2023)
Fresh sample,S$5,lalaworld85,Postage $0.60
Authentic Brand New Fresh Lotus Youth Preserve Dream Face Cream and Black Tea Firming Corset Cream Samples,S$6,shopaholicmo,Price stated for one set only Buy both and enjoy free normal mail!Authentic Expiry 2025 September 4 ml per setNormal mail 1.50 Courier 4.50 Self pick up at stated locale No trades 
(Make up for ever / Fresh / Kenzo) Miniature Samples (Free Sunblock and Peel-Off Black Mask),S$28,neulinnne,
Fresh rose face mask 15ml & 30ml,S$8,fashionshopnice,Fresh rose mask up for sale 15ml $830ml $16Free sample will also be given
Clarins Gentle Foaming Cleanser,S$5,mummyger,Fresh samples from Robinsonâ€™sGentle Foaming cleanser with Shea Butter$8 inclusive of mail
Chanel sublimage samples,S$4,islandooh,"All samples are gifts with purchase from local Chanel beauty store, fresh production date from 2022 March to 2023 January.If purchased more than 10 pcs can have 10% off; if more than 20 pcs can packed with a Chanel paperbox and free Chanel perfume samples.1. Sublimage la lotion supreme: $5 for 10 ml (retail price $200 for 125 ml )2. Sublimage lâ€™extrait de nuit : $16 for 5 ml (retail price $933 for 40 ml)3. Sublimage fondamentale yeux eye serum: $10 for 3 ml (retail price $355 for 15 ml)4. Sublimage lâ€™essence lumiere: $15 for 5 ml (retail price $800 for 40 ml)5. Sublimage lâ€™essence fondamentale redefining concentrate: $14 for 5 ml (retail price $800 for 40 ml)6. Sublimage lâ€™extrait de crÃ¨me: $12 for 5 g (retail price $840 for 50 g)7. Sublimage  la crÃ¨me texture suprÃªme: $8 for 5 g (retail price $585 for 50 g)8. Sublimage la crÃ¨me texture fine: $8 for 5 g (retail price $585 for 50 g)9. Sublimage la lotion lumiere exfoliante: $5 for 10 ml (retail price $206 for 125 ml)10. Sublimage la crÃ¨me yeux eye cream: $12 for 3g (retail price $308 for 15 g)11. Sublimage la protection UV: $6 for 5 ml (retail price $177 for 30 ml)"
Deluxe / travel size samples,S$8,y_mew_y,"All samples were received from Sephora / Fresh / Innisfree / The Face Shop 1. Fresh Kombucha cleansing treatment, 20ml ($12)2. Fresh Kombucha facial treatment essence, 20ml ($15)3. Fresh Kombucha facial treatment essence, 50ml ($35)4. Fresh Rose Face mask, 15ml ($12)5. Fresh Black Tea instant perfecting mask, 15ml ($22)6. Supergoop! Every Single Face SPR-Shield Watery Lotion sunscreen, 10ml ($12)7. Fresh Strawberry exfoliating Face wash, 50ml ($16)8. Estee Lauder Advanced Night Repair set - Synchronised multi-recovery complex, intense reset concentrate, eye concentrate matrix, 3 x 7ml ($60)9. Innisfree volcano set - jeju volcanic pore cleansing foam ex, volcanic calming pore clay mask, jeju volcanic pore toner 2X, 3 x 15ml ($12)10. TFS Dr Belmeur Advanced Cica Toner Cica Lotion Tonique, 4 x 6ml ($8)Top up $1.50 for normal mailing, or $3.20 for smartpac delivery"
Deluxe / travel size samples,S$8,y_mew_y,"All samples were received from Sephora / Fresh / Innisfree / The Face Shop 1. Fresh Kombucha cleansing treatment, 20ml ($12)2. Fresh Kombucha facial treatment essence, 20ml ($15)3. Fresh Kombucha facial treatment essence, 50ml ($35)4. Fresh Rose Face mask, 15ml ($12)5. Fresh Black Tea instant perfecting mask, 15ml ($22)6. Supergoop! Every Single Face SPR-Shield Watery Lotion sunscreen, 10ml ($12)7. Fresh Strawberry exfoliating Face wash, 50ml ($16)8. Estee Lauder Advanced Night Repair set - Synchronised multi-recovery complex, intense reset concentrate, eye concentrate matrix, 3 x 7ml ($60)9. Innisfree volcano set - jeju volcanic pore cleansing foam ex, volcanic calming pore clay mask, jeju volcanic pore toner 2X, 3 x 15ml ($12)10. TFS Dr Belmeur Advanced Cica Toner Cica Lotion Tonique, 4 x 6ml ($8)Top up $1.50 for normal mailing, or $3.20 for smartpac delivery"
Fresh Skincare Samples,S$1.80,wendyg218,-12x Rose Deep Hydration Face Cream- 11x Rose Deep Hydration Oil-Infused Serum- 11x Rose Deep Hydration Facial Toner- 9x Rose Face Mask- 9x Soy Face Cleanser- 3x Lotus Youth Preserve- 3x Tea Elixir- 2x Kombucha Facial Treatment Essence- 1x Sugar Strawberry Exfoliating Face Wash- 3x Black Tea Instant Perfecting Mask- 2x Rose Face Mask- 1x Lotus Youth Preserve Rescue Mask$1.8 per sachet
Fresh samples,S$2.50,harvestbloopers,$2.5 includes both packs. 1 rose deep hydration oil infused serum and 1 Umbrian clay purifying mask. Free normal mail. 
Lancome Samples Youth Activating (ALL),S$12,zhangjk,"All for $12. -- Fresh Samples !including 1 YSL ___Pure shots night reboot serum 3 YSL __Pure shots lines away serum3 Lancome adv youth activating EYE cream2 Lancome youth activating CONCENTRATEmeetup at my convenience or mailing top up 1.50, Alternatively ^^You can take one for $2 (Lancome samples and YSL pure shots line away. ^^YSL pure shots night reboot individually at $3)One sample packet can be use twice separately. Test out on these items yourself to prevent impulse buying"
EstÃ©e Lauder micro essence treatment lotion fresh with Sakura ferment 7 ml,S$5,reverie87,EstÃ©e Lauder micro essence treatment lotion fresh with Sakura ferment Sample size : 7 mlPls note: item nv been use . Itâ€™s filled 4/5 of the bottle . I think itâ€™s by default. 
